2022-12-15 03:48:48.255 | [SUCCESS] | vasya | vasya@gmail.com | +38056781556 | Pandas | sdbsdb |
2022-12-15 03:48:03.108 | [SUCCESS] | anya | anya@gmail.com | +380514442536 | Pandas | sdbsdb |
2022-12-15 03:48:56.884 | [SUCCESS] | stepan | stepan@gmail.com | +380123456789 | Pandas | sdbsdb |
2022-12-15 03:49:06.167 | [SUCCESS] | oleg | oleg@gmail.com | +380987654123 | Seaborn | sbsdbas bc |
2022-12-15 03:49:06.186 | [SUCCESS] | vadim | vadim@gmail.com | +380369852147 | Seaborn | sbsdbas bc |
2022-12-15 03:49:06.965 | [SUCCESS] | vika | vika@gmail.com | +380252829272 | Seaborn | sbsdbas bc |
2022-12-15 03:50:05.819 | [SUCCESS] | nadya | nadya@gmail.com | +380526182734 | Matplotlib | vsdb |
2022-12-15 03:50:17.921 | [SUCCESS] | diana | diana@gmail.com | +380659832641 | Numpy | test1 |
2022-12-15 03:50:17.999 | [SUCCESS] | kira | kira@gmail.com | +380010203040 | Seaborn | fnbdn |
2022-12-15 03:51:25.875 | [SUCCESS] | petro | petro@gmail.com | +380125648575 | Numpy | test1 |
2022-12-15 03:51:21.922 | [SUCCESS] | peter | peter@gmail.com | +380505432971 | Pandas | test2 |
2022-12-15 03:51:21.121 | [SUCCESS] | sasha | sasha@gmail.com | +380968574123 | Pandas | test2 |
2022-12-15 03:52:18.119 | [SUCCESS] | vlad | vlad@gmail.com | +380859211453 | Matplotlib | test3 |
2022-12-15 03:52:18.122 | [SUCCESS] | roma | roma@gmail.com | +380032879542 | Pandas | test2 |
2022-12-15 03:52:18.292 | [SUCCESS] | ryta | ryta@gmail.com | +380641564248 | Matplotlib | test3 |
